geneID,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS25080,17810.94147,4533.944859,37726.43639,3.025282666,3.056335654,0.240709301,12.69720629,6.13E-37,1.90E-34,"COG1314@1|root,COG1314@2|Bacteria,2GR31@201174|Actinobacteria,4F4TB@85017|Promicromonosporaceae",U,Preprotein translocase SecG subunit,secG,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K03075,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,SecG
J2S48_RS20105,1549.454041,155.29181,3640.697388,4.475277156,4.527416646,0.358844497,12.61665339,1.71E-36,4.86E-34,"COG0596@1|root,COG0596@2|Bacteria,2GK79@201174|Actinobacteria,4F3FY@85017|Promicromonosporaceae",S,Epoxide hydrolase N terminus,-,-,-,ko:K21159,"ko01059,map01059",-,-,-,"ko00000,ko00001",-,-,-,EHN
J2S48_RS13985,14000.03829,2504.270698,31243.68968,3.606226802,3.642124984,0.291849368,12.47946847,9.66E-36,2.54E-33,"2E4NY@1|root,32ZHR@2|Bacteria,2GQPW@201174|Actinobacteria,4F4Y9@85017|Promicromonosporaceae",D,Involved in cell division,crgA,-,-,-,-,-,-,-,-,-,-,-,CrgA
J2S48_RS13770,234002.2898,17202.45145,559202.0472,4.96490421,5.022922146,0.402694578,12.47327979,1.04E-35,2.55E-33,"COG2197@1|root,COG2197@2|Bacteria,2HF28@201174|Actinobacteria,4F4ZR@85017|Promicromonosporaceae",K,"helix_turn_helix, Lux Regulon",-,-,-,-,-,-,-,-,-,-,-,-,GerE
J2S48_RS16660,31173.59105,50655.24447,1951.110926,-4.63949854,-4.698211896,0.377723176,-12.43824102,1.62E-35,3.69E-33,"COG2148@1|root,COG2148@2|Bacteria,2GK0M@201174|Actinobacteria,4F3KC@85017|Promicromonosporaceae",M,CoA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"Bac_transf,CoA_binding_3"
J2S48_RS18870,20328.33985,3854.456451,45039.16494,3.516416092,3.545286067,0.287839902,12.31686796,7.35E-35,1.57E-32,"COG2229@1|root,COG2229@2|Bacteria,2GJIT@201174|Actinobacteria,4F42W@85017|Promicromonosporaceae",S,Conserved hypothetical ATP binding protein,-,-,-,ko:K06945,-,-,-,-,ko00000,-,-,-,ATP_bind_1
J2S48_RS13845,14531.7126,22504.56452,2572.434713,-3.093320567,-3.128875721,0.257320054,-12.15947095,5.11E-34,1.03E-31,,,,,,,,,,,,,,,,
J2S48_RS13825,11342.09685,17924.78424,1468.065753,-3.563715399,-3.609787344,0.304571986,-11.85200056,2.10E-32,3.98E-30,"COG1028@1|root,COG1028@2|Bacteria,2GJU1@201174|Actinobacteria,4F36T@85017|Promicromonosporaceae",IQ,KR domain,-,-,-,-,-,-,-,-,-,-,-,-,adh_short_C2
J2S48_RS02320,1279.537388,75.6267049,3085.403412,5.319776427,5.392230725,0.458527368,11.75988852,6.28E-32,1.13E-29,"COG0523@1|root,COG0523@2|Bacteria,2HNN0@201174|Actinobacteria,4F0DD@85016|Cellulomonadaceae",S,PFAM cobalamin synthesis CobW domain protein,-,-,-,-,-,-,-,-,-,-,-,-,"CobW_C,cobW"
J2S48_RS10390,2787.30872,4644.443234,1.606949072,-11.33465482,-11.50755236,0.979880011,-11.74383826,7.60E-32,1.30E-29,"COG0091@1|root,COG0091@2|Bacteria,2IM3J@201174|Actinobacteria,4F4I0@85017|Promicromonosporaceae",J,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",rplV,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904",-,ko:K02890,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L22
J2S48_RS14420,14699.4208,2241.95095,33385.62558,3.845753329,3.898100981,0.332850109,11.71128046,1.12E-31,1.81E-29,"COG1366@1|root,COG1366@2|Bacteria,2HXXA@201174|Actinobacteria,4F4SQ@85017|Promicromonosporaceae",T,STAS domain,-,-,-,-,-,-,-,-,-,-,-,-,STAS_2
J2S48_RS25930,2047.496496,3291.556816,181.4060159,-4.129763348,-4.181736448,0.358609896,-11.66096222,2.02E-31,3.13E-29,,,,,,,,,,,,,,,,
J2S48_RS00300,4596.1573,584.4723777,10613.68468,4.136871587,4.193661837,0.369294982,11.35585925,6.94E-30,1.03E-27,"COG5620@1|root,COG5620@2|Bacteria,2GS1C@201174|Actinobacteria,4F4S8@85017|Promicromonosporaceae",S,"Psort location Cytoplasmic, score",-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS08830,462.3999522,768.7752823,2.836957206,-7.944546271,-8.068158589,0.711938142,-11.33266799,9.04E-30,1.29E-27,"COG1834@1|root,COG1834@2|Bacteria,2GNTN@201174|Actinobacteria,4F479@85017|Promicromonosporaceae",E,Amidinotransferase,-,"GO:0003674,GO:0003824,GO:0016403,GO:0016787,GO:0016810,GO:0016813",-,-,-,-,-,-,-,-,-,-,Amidinotransf
J2S48_RS02470,6881.263124,10428.21068,1560.84179,-2.704959933,-2.739946756,0.243603142,-11.24758379,2.38E-29,3.25E-27,"COG1063@1|root,COG1063@2|Bacteria,2GISW@201174|Actinobacteria,4F435@85017|Promicromonosporaceae",E,Alcohol dehydrogenase GroES-like domain,fdh,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_N_assoc,ADH_zinc_N"
J2S48_RS25310,8892.65335,13699.25247,1682.754676,-2.984176534,-3.024994924,0.270796389,-11.17073583,5.67E-29,7.44E-27,"COG0028@1|root,COG0028@2|Bacteria,2GJ20@201174|Actinobacteria,4FME3@85023|Microbacteriaceae",EH,"Thiamine pyrophosphate enzyme, central domain",poxB,-,"1.2.3.3,1.2.5.1","ko:K00156,ko:K00158","ko00620,ko01100,map00620,map01100",-,"R00207,R03145","RC00860,RC02745","ko00000,ko00001,ko01000",-,-,-,"TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N"
J2S48_RS13310,2525.590977,3956.525582,379.1890704,-3.336769659,-3.38413633,0.304104569,-11.12819957,9.15E-29,1.16E-26,,,,,,,,,,,,,,,,
J2S48_RS18920,3246.248717,799.0620519,6917.028714,3.070817111,3.114086455,0.287651995,10.82588165,2.60E-27,3.16E-25,"COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4F3DS@85017|Promicromonosporaceae",G,Belongs to the binding-protein-dependent transport system permease family,-,-,-,ko:K10440,"ko02010,map02010",M00212,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2.1,3.A.1.2.13,3.A.1.2.19",-,-,BPD_transp_2
J2S48_RS06970,1174.102444,177.9621825,2668.312836,3.864396724,3.923486585,0.363536184,10.79256139,3.73E-27,4.39E-25,"COG3173@1|root,COG3173@2|Bacteria,2GMHD@201174|Actinobacteria",S,Aminoglycoside phosphotransferase,-,-,-,-,-,-,-,-,-,-,-,-,APH
J2S48_RS20595,10727.11937,16851.02235,1541.264907,-3.397890083,-3.450533249,0.320131381,-10.77849114,4.35E-27,4.95E-25,"COG0693@1|root,COG0693@2|Bacteria,2GMMW@201174|Actinobacteria,4F4IM@85017|Promicromonosporaceae",S,DJ-1/PfpI family,-,-,3.5.1.124,ko:K05520,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,DJ-1_PfpI
J2S48_RS12905,2252.216072,218.5959885,5302.646198,4.511505769,4.582912328,0.425654195,10.76675005,4.94E-27,5.44E-25,"COG1804@1|root,COG1804@2|Bacteria,2GIU7@201174|Actinobacteria",C,L-carnitine dehydratase bile acid-inducible protein F,-,-,2.8.3.16,ko:K07749,-,-,-,-,"ko00000,ko01000",-,-,-,CoA_transf_3
J2S48_RS17270,15792.8583,25134.52763,1780.354304,-3.771621251,-3.819537849,0.356676652,-10.70868482,9.27E-27,9.88E-25,"COG3583@1|root,COG3583@2|Bacteria,2I2GH@201174|Actinobacteria,4F383@85017|Promicromonosporaceae",S,G5,-,-,-,-,-,-,-,-,-,-,-,-,"DUF348,G5,SLT"
J2S48_RS15180,1485.935709,323.5168904,3229.563936,3.261522577,3.313179886,0.310783034,10.66074888,1.55E-26,1.61E-24,"COG1414@1|root,COG1414@2|Bacteria,2GNHA@201174|Actinobacteria",K,Transcriptional regulator,pcaR,-,-,ko:K02624,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_IclR,IclR"
J2S48_RS13780,4005.457612,6189.057246,730.0581614,-3.032776852,-3.083987165,0.296592293,-10.39806912,2.53E-25,2.54E-23,"COG0404@1|root,COG0404@2|Bacteria,2GJ47@201174|Actinobacteria,4F42H@85017|Promicromonosporaceae",E,The glycine cleavage system catalyzes the degradation of glycine,gcvT,-,2.1.2.10,ko:K00605,"ko00260,ko00630,ko00670,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map00670,map01100,map01110,map01130,map01200",M00532,"R01221,R02300,R04125","RC00022,RC00069,RC00183,RC02834","ko00000,ko00001,ko00002,ko01000",-,-,-,"GCV_T,GCV_T_C"
J2S48_RS21265,7308.729148,11063.50761,1676.561448,-2.681040126,-2.722111848,0.263014943,-10.34964711,4.20E-25,4.10E-23,"COG1562@1|root,COG1562@2|Bacteria,2HFT9@201174|Actinobacteria,4F5JC@85017|Promicromonosporaceae",I,Squalene/phytoene synthase,-,-,-,-,-,-,-,-,-,-,-,-,SQS_PSY
J2S48_RS06480,39662.44761,64627.96625,2214.169651,-4.766429587,-4.867221763,0.471431027,-10.32435602,5.47E-25,5.18E-23,"2C3A2@1|root,2ZZP3@2|Bacteria,2I9BD@201174|Actinobacteria,4F4PN@85017|Promicromonosporaceae",S,PFAM DoxX family protein,-,-,1.8.5.2,ko:K16937,"ko00920,ko01120,map00920,map01120",-,R07177,-,"ko00000,ko00001,ko01000",3.D.4.9,-,-,DoxX
J2S48_RS14525,9995.976897,3188.569866,20207.08744,2.619886471,2.662883048,0.258057348,10.31895845,5.78E-25,5.20E-23,,,,,,,,,,,,,,,,
J2S48_RS16725,1489.034434,151.2178324,3495.759335,4.47945316,4.557212801,0.441602098,10.31972633,5.74E-25,5.20E-23,"COG2340@1|root,COG2340@2|Bacteria,2HF2J@201174|Actinobacteria,4F50J@85017|Promicromonosporaceae",S,Cysteine-rich secretory protein family,-,-,-,-,-,-,-,-,-,-,-,-,CAP
J2S48_RS00960,2180.841482,3445.555669,283.7702014,-3.538766716,-3.601221278,0.354263879,-10.16536398,2.83E-24,2.48E-22,"COG0505@1|root,COG0505@2|Bacteria,2GM9I@201174|Actinobacteria,4F4NQ@85017|Promicromonosporaceae",EF,Belongs to the CarA family,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS04025,1897.988816,150.6177319,4519.045443,4.799720867,4.896185007,0.48517624,10.09155973,6.02E-24,5.14E-22,"COG1620@1|root,COG1620@2|Bacteria,2GIUF@201174|Actinobacteria",C,L-lactate permease,-,-,-,ko:K03303,-,-,-,-,"ko00000,ko02000",2.A.14,-,-,Lactate_perm
J2S48_RS12170,1370.353531,2283.217444,1.05765987,-10.85170069,-11.07549749,1.102862272,-10.04250283,9.91E-24,8.25E-22,"COG0457@1|root,COG0457@2|Bacteria,2GMSS@201174|Actinobacteria",K,sequence-specific DNA binding,-,-,-,-,-,-,-,-,-,-,-,-,HTH_31
J2S48_RS21085,3025.71876,415.2686614,6941.393909,4.006920751,4.07829198,0.407635583,10.00474971,1.45E-23,1.18E-21,,,,,,,,,,,,,,,,
J2S48_RS25950,5583.999927,8564.883296,1112.674872,-2.896750436,-2.943735459,0.299051834,-9.843562628,7.31E-23,5.80E-21,"COG1295@1|root,COG1295@2|Bacteria,2GM6P@201174|Actinobacteria,4F3K5@85017|Promicromonosporaceae",S,Virulence factor BrkB,-,-,-,ko:K07058,-,-,-,-,ko00000,-,-,-,Virul_fac_BrkB
J2S48_RS13420,11407.81336,784.8685946,27342.23051,5.022170995,5.121455527,0.527500039,9.708919718,2.76E-22,2.14E-20,"COG1404@1|root,COG3055@1|root,COG1404@2|Bacteria,COG3055@2|Bacteria,2HQIW@201174|Actinobacteria,4F5H7@85017|Promicromonosporaceae",O,Subtilase family,bpr,"GO:0005575,GO:0005576",3.2.1.4,"ko:K01179,ko:K13276","ko00500,ko01100,map00500,map01100",-,"R06200,R11307,R11308",-,"ko00000,ko00001,ko01000,ko01002,ko03110",-,"GH5,GH9",-,"CarbopepD_reg_2,CarboxypepD_reg,Inhibitor_I9,Malectin,PKD,Peptidase_M6,Peptidase_S8"
J2S48_RS07055,1142.592725,217.3971476,2530.38609,3.484970999,3.550236254,0.366521007,9.686310435,3.45E-22,2.61E-20,"COG2124@1|root,COG2124@2|Bacteria,2GJKV@201174|Actinobacteria",Q,Belongs to the cytochrome P450 family,-,-,-,-,-,-,-,-,-,-,-,-,p450
J2S48_RS10185,209076.4816,344863.3325,5396.205392,-5.866310115,-5.997935652,0.622577298,-9.634041703,5.74E-22,4.26E-20,"COG2373@1|root,COG2373@2|Bacteria,2ISAU@201174|Actinobacteria,4F4G1@85017|Promicromonosporaceae",S,Large extracellular alpha-helical protein,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS17310,1227.597565,220.6868946,2737.963571,3.568896686,3.636928948,0.379970273,9.571614422,1.05E-21,7.64E-20,,,,,,,,,,,,,,,,
J2S48_RS02120,788.014066,89.11392912,1836.364271,4.298965139,4.385837265,0.459036115,9.55444926,1.24E-21,8.83E-20,,,,,,,,,,,,,,,,
J2S48_RS11240,5857.055166,1315.649182,12669.16414,3.213181777,3.27234477,0.344026135,9.5119075,1.87E-21,1.30E-19,"COG1879@1|root,COG1879@2|Bacteria,2GJ0Z@201174|Actinobacteria,4F3X6@85017|Promicromonosporaceae",G,Periplasmic binding protein domain,-,-,-,"ko:K02058,ko:K10439","ko02010,ko02030,map02010,map02030","M00212,M00221",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19",-,-,Peripla_BP_4
J2S48_RS02465,807.4195064,1253.256235,138.6644134,-3.112904803,-3.173559,0.335012995,-9.472942983,2.72E-21,1.82E-19,,,,,,,,,,,,,,,,
J2S48_RS21140,2725.49008,4298.486042,365.9961376,-3.483565681,-3.552617306,0.374980874,-9.474129361,2.69E-21,1.82E-19,"COG2905@1|root,COG2905@2|Bacteria",T,signal-transduction protein containing cAMP-binding and CBS domains,-,-,-,-,-,-,-,-,-,-,-,-,CBS
J2S48_RS11225,7477.138909,1337.073661,16687.23678,3.568000492,3.637947969,0.386573665,9.410749604,4.93E-21,3.17E-19,"COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4F3Y7@85017|Promicromonosporaceae",G,Branched-chain amino acid transport system / permease component,-,-,-,"ko:K02057,ko:K10440,ko:K17209","ko02010,map02010","M00212,M00221,M00592",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19,3.A.1.2.21",-,-,BPD_transp_2
J2S48_RS20880,2368.242892,209.7648619,5605.959937,4.667642198,4.766202956,0.506422395,9.411516956,4.89E-21,3.17E-19,"COG1121@1|root,COG1121@2|Bacteria,2GP3A@201174|Actinobacteria,4F3EE@85017|Promicromonosporaceae",P,ABC transporter,mntB,-,-,ko:K09817,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ABC_tran
J2S48_RS07235,2873.546502,642.1037517,6220.710629,3.204922324,3.267663684,0.347631563,9.39978999,5.47E-21,3.39E-19,"COG2270@1|root,COG2270@2|Bacteria,2I416@201174|Actinobacteria",S,Major facilitator Superfamily,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1
J2S48_RS16800,1852.810027,2936.95979,226.5853822,-3.619967793,-3.695561009,0.393128019,-9.400400976,5.44E-21,3.39E-19,,,,,,,,,,,,,,,,
J2S48_RS09620,1417.287434,276.8411056,3127.956927,3.421790619,3.487275199,0.371412364,9.389227555,6.04E-21,3.68E-19,,,,,,,,,,,,,,,,
J2S48_RS16875,3661.486826,697.9343666,8106.815516,3.461973061,3.530896766,0.376215649,9.3853001,6.27E-21,3.76E-19,"COG0747@1|root,COG0747@2|Bacteria,2GNKN@201174|Actinobacteria,4F5FT@85017|Promicromonosporaceae",E,"Bacterial extracellular solute-binding proteins, family 5 Middle",-,-,-,ko:K02035,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,SBP_bac_5
J2S48_RS19745,2648.089068,522.6166871,5836.297639,3.406371834,3.471585197,0.373110213,9.304449662,1.35E-20,7.93E-19,"COG3181@1|root,COG3181@2|Bacteria,2I3SR@201174|Actinobacteria,4DFFQ@85008|Micromonosporales",S,Tripartite tricarboxylate transporter family receptor,-,-,-,-,-,-,-,-,-,-,-,-,TctC
J2S48_RS12825,5808.188809,731.1148052,13423.79982,4.114567119,4.203859869,0.454581704,9.247754216,2.29E-20,1.33E-18,"COG3290@1|root,COG3290@2|Bacteria,2GIRZ@201174|Actinobacteria",T,signal transduction histidine kinase regulating citrate malate metabolism,-,-,2.7.13.3,ko:K02476,-,-,-,-,"ko00000,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,PAS,PAS_4,PAS_8,SPOB_a,sCache_3_2"
J2S48_RS17785,9193.115987,14302.12049,1529.609239,-3.158691864,-3.225276138,0.349253937,-9.23475957,2.59E-20,1.47E-18,"COG0334@1|root,COG0334@2|Bacteria,2GKXG@201174|Actinobacteria,4F3BD@85017|Promicromonosporaceae",C,Belongs to the Glu Leu Phe Val dehydrogenases family,gdhA,-,1.4.1.3,ko:K00261,"ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964",M00740,"R00243,R00248","RC00006,RC02799","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"ELFV_dehydrog,ELFV_dehydrog_N"
J2S48_RS06485,13172.64434,20716.27873,1857.192756,-3.40633983,-3.479268886,0.378282232,-9.197547724,3.66E-20,2.05E-18,"COG2197@1|root,COG2197@2|Bacteria,2GK4B@201174|Actinobacteria,4F438@85017|Promicromonosporaceae",K,"helix_turn_helix, Lux Regulon",devR,-,-,-,-,-,-,-,-,-,-,-,"GerE,Response_reg"
J2S48_RS25940,3923.012133,6369.283037,253.6057769,-4.548048304,-4.649667587,0.507436977,-9.163044465,5.05E-20,2.78E-18,"2DMSR@1|root,32TF3@2|Bacteria,2IR08@201174|Actinobacteria,4F4UG@85017|Promicromonosporaceae",S,"Putative Actinobacterial Holin-X, holin superfamily III",-,-,-,-,-,-,-,-,-,-,-,-,Phage_holin_3_6
J2S48_RS02165,1029.016747,217.7537565,2245.911233,3.309104081,3.378533565,0.368869703,9.159151683,5.23E-20,2.83E-18,"COG0507@1|root,COG3410@1|root,COG0507@2|Bacteria,COG3410@2|Bacteria,2HNSJ@201174|Actinobacteria",L,Uncharacterized conserved protein (DUF2075),-,-,-,ko:K09384,-,-,-,-,ko00000,-,-,-,DUF2075
J2S48_RS20130,6068.61566,2342.829017,11657.29563,2.275628808,2.315389086,0.253487132,9.134148434,6.59E-20,3.52E-18,"COG1653@1|root,COG1653@2|Bacteria,2GNI2@201174|Actinobacteria,4F50U@85017|Promicromonosporaceae",G,Bacterial extracellular solute-binding protein,smoE,-,-,"ko:K02027,ko:K10227","ko02010,map02010","M00200,M00207",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.1,3.A.1.1.5",-,-,SBP_bac_1
J2S48_RS18880,14006.18169,4082.650931,28891.47783,2.766416206,2.822557378,0.309967548,9.105977038,8.55E-20,4.49E-18,"COG2072@1|root,COG2072@2|Bacteria,2GMDH@201174|Actinobacteria",P,flavoprotein involved in K transport,-,-,-,-,-,-,-,-,-,-,-,-,FMO-like
J2S48_RS20525,3308.563025,4927.801226,879.7057232,-2.439008248,-2.485227216,0.273019421,-9.102748846,8.81E-20,4.55E-18,,,,,,,,,,,,,,,,
J2S48_RS19345,1501.540143,414.3431654,3132.335611,2.853745596,2.910833174,0.323093037,9.009272367,2.07E-19,1.06E-17,"COG3397@1|root,COG3397@2|Bacteria,2GM54@201174|Actinobacteria,4F5HH@85017|Promicromonosporaceae",S,"Lytic polysaccharide mono-oxygenase, cellulose-degrading",-,-,-,-,-,-,-,-,-,-,-,-,"CBM_5_12,LPMO_10"
J2S48_RS14920,54067.29024,20202.53029,104864.4302,2.336572827,2.375673565,0.263984485,8.999292379,2.27E-19,1.14E-17,"COG1071@1|root,COG1071@2|Bacteria,2GK3W@201174|Actinobacteria,4F464@85017|Promicromonosporaceae",C,Dehydrogenase E1 component,pdhA,-,"1.2.4.1,1.2.4.4","ko:K00161,ko:K00166","ko00010,ko00020,ko00280,ko00620,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00280,map00620,map00640,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230","M00036,M00307","R00014,R00209,R01699,R03270,R07599,R07600,R07601,R07602,R07603,R07604,R10996,R10997","RC00004,RC00027,RC00627,RC02742,RC02743,RC02744,RC02882,RC02883,RC02949,RC02953","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,E1_dh
J2S48_RS12910,1535.417485,147.9512049,3616.616905,4.504121929,4.608206526,0.514522085,8.956285189,3.36E-19,1.66E-17,"COG0471@1|root,COG0471@2|Bacteria,2GKEG@201174|Actinobacteria",P,Dicarboxylate carrier,-,-,-,-,-,-,-,-,-,-,-,-,"CitMHS,MatC_N"
J2S48_RS06720,1538.54241,93.87231567,3705.547551,5.193585722,5.317154512,0.597719172,8.895740274,5.80E-19,2.83E-17,"COG0492@1|root,COG0492@2|Bacteria,2GIXN@201174|Actinobacteria",O,pyridine nucleotide-disulphide oxidoreductase,-,-,-,-,-,-,-,-,-,-,-,-,Pyr_redox_2
J2S48_RS11320,836.6669592,202.7458585,1787.54861,3.06764977,3.132964887,0.352804283,8.880178162,6.68E-19,3.21E-17,"COG0395@1|root,COG0395@2|Bacteria,2GJPZ@201174|Actinobacteria",G,Binding-protein-dependent transport systems inner membrane component,-,-,-,ko:K02026,-,M00207,-,-,"ko00000,ko00002,ko02000",3.A.1.1,-,-,BPD_transp_1
J2S48_RS13070,1426.029536,438.6034332,2907.168691,2.675328024,2.729146627,0.307985303,8.861288521,7.91E-19,3.75E-17,"COG1937@1|root,COG1937@2|Bacteria,2IQAC@201174|Actinobacteria,4F4RQ@85017|Promicromonosporaceae",S,Metal-sensitive transcriptional repressor,csoR,-,-,ko:K21600,-,-,-,-,"ko00000,ko03000",-,-,-,Trns_repr_metal
J2S48_RS00240,695.4292928,1123.532707,53.27417166,-4.291052352,-4.397065175,0.497198317,-8.843684755,9.26E-19,4.33E-17,"COG0076@1|root,COG0076@2|Bacteria,2GK3J@201174|Actinobacteria,4F36V@85017|Promicromonosporaceae",E,Pyridoxal-dependent decarboxylase conserved domain,sidD,-,4.1.1.86,ko:K13745,"ko00260,ko01120,map00260,map01120",-,R07650,RC00299,"ko00000,ko00001,ko01000",-,-,-,Pyridoxal_deC
J2S48_RS18855,28606.83692,10738.27661,55409.67738,2.315899528,2.366938623,0.2679212,8.834458139,1.01E-18,4.64E-17,"COG0642@1|root,COG0642@2|Bacteria,2GKZQ@201174|Actinobacteria",T,"Pfam Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",-,-,-,-,-,-,-,-,-,-,-,-,HATPase_c
