geneID,COG_category,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,Description,Function/Purpose,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS11320,G,836.6669592,202.7458585,1787.54861,3.06764977,3.132964887,0.352804283,8.880178162,6.68E-19,3.21E-17,"COG0395@1|root,COG0395@2|Bacteria,2GJPZ@201174|Actinobacteria",Binding-protein-dependent transport systems inner membrane component,,-,-,-,ko:K02026,-,M00207,-,-,"ko00000,ko00002,ko02000",3.A.1.1,-,-,BPD_transp_1
J2S48_RS13070,S,1426.029536,438.6034332,2907.168691,2.675328024,2.729146627,0.307985303,8.861288521,7.91E-19,3.75E-17,"COG1937@1|root,COG1937@2|Bacteria,2IQAC@201174|Actinobacteria,4F4RQ@85017|Promicromonosporaceae",Metal-sensitive transcriptional repressor,,csoR,-,-,ko:K21600,-,-,-,-,"ko00000,ko03000",-,-,-,Trns_repr_metal
J2S48_RS18855,T,28606.83692,10738.27661,55409.67738,2.315899528,2.366938623,0.2679212,8.834458139,1.01E-18,4.64E-17,"COG0642@1|root,COG0642@2|Bacteria,2GKZQ@201174|Actinobacteria","Pfam Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",,-,-,-,-,-,-,-,-,-,-,-,-,HATPase_c
J2S48_RS25910,C,2547.031374,315.8251344,5893.840733,4.140947265,4.239777592,0.484108417,8.757909259,1.99E-18,9.05E-17,"COG1053@1|root,COG1053@2|Bacteria,2GJ45@201174|Actinobacteria,4F4AM@85017|Promicromonosporaceae",Fumarate reductase flavoprotein C-term,,sdhA,"GO:0000104,GO:0000166,GO:0001539,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006091,GO:0006113,GO:0006928,GO:0006950,GO:0006974,GO:0006996,GO:0008150,GO:0008152,GO:0009055,GO:0009061,GO:0009987,GO:0015980,GO:0016020,GO:0016043,GO:0016491,GO:0016627,GO:0022607,GO:0022900,GO:0030030,GO:0030031,GO:0032991,GO:0033554,GO:0036094,GO:0040011,GO:0043167,GO:0043168,GO:0044085,GO:0044237,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044780,GO:0044781,GO:0045273,GO:0045274,GO:0045283,GO:0045284,GO:0045333,GO:0048037,GO:0048870,GO:0050660,GO:0050662,GO:0050896,GO:0051179,GO:0051674,GO:0051716,GO:0055114,GO:0070469,GO:0070470,GO:0070925,GO:0071840,GO:0071944,GO:0071949,GO:0071973,GO:0097159,GO:0097588,GO:0098796,GO:0098797,GO:0098803,GO:1901265,GO:1901363","1.3.5.1,1.3.5.4,1.4.3.16","ko:K00239,ko:K00278","ko00020,ko00190,ko00250,ko00650,ko00720,ko00760,ko01100,ko01110,ko01120,ko01130,ko01200,ko05134,map00020,map00190,map00250,map00650,map00720,map00760,map01100,map01110,map01120,map01130,map01200,map05134","M00009,M00011,M00115,M00149,M00173,M00374,M00376","R00357,R00481,R02164","RC00006,RC00045,RC02566","ko00000,ko00001,ko00002,ko01000",-,-,-,"FAD_binding_2,Succ_DH_flav_C"
J2S48_RS18320,J,23073.68505,6165.650563,48435.73679,2.918628408,2.974060999,0.342089241,8.693816238,3.50E-18,1.55E-16,"COG0254@1|root,COG0254@2|Bacteria,2IQ4I@201174|Actinobacteria,4F4V8@85017|Promicromonosporaceae",Binds the 23S rRNA,,rpmE,"GO:0008150,GO:0040007",-,ko:K02909,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L31
J2S48_RS02340,J,5023.99776,281.4281504,12137.85218,5.290682016,5.426848992,0.631847349,8.588860897,8.78E-18,3.75E-16,"COG0254@1|root,COG0254@2|Bacteria,2IQ4I@201174|Actinobacteria,4F5TS@85017|Promicromonosporaceae",Ribosomal protein L31,,rpmE2,-,-,ko:K02909,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L31
J2S48_RS19820,C,1342.18943,477.6848349,2638.946323,2.416112594,2.468493072,0.294129323,8.39254327,4.76E-17,1.96E-15,"COG1012@1|root,COG1012@2|Bacteria,2GYXB@201174|Actinobacteria",Aldehyde dehydrogenase family,,-,-,-,-,-,-,-,-,-,-,-,-,Aldedh
J2S48_RS17385,E,9564.429998,950.1333362,22485.87499,4.44832554,4.560679486,0.544185038,8.380751338,5.26E-17,2.14E-15,"COG2355@1|root,COG2355@2|Bacteria,2HZ6F@201174|Actinobacteria,4DPCY@85009|Propionibacteriales","Zn-dependent dipeptidase, microsomal dipeptidase",,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS19520,,743.8419195,118.8414025,1681.342695,3.763140112,3.860525971,0.461052016,8.373298098,5.60E-17,2.25E-15,,,,,,,,,,,,,,,,
J2S48_RS04250,P,2436.781777,543.1397913,5277.244754,3.20409037,3.282134893,0.394311323,8.323714537,8.52E-17,3.38E-15,"COG0735@1|root,COG0735@2|Bacteria,2IFBR@201174|Actinobacteria,4F4QF@85017|Promicromonosporaceae",Ferric uptake regulator family,,fur,-,-,"ko:K03711,ko:K22297",-,-,-,-,"ko00000,ko03000",-,-,-,FUR
J2S48_RS06730,-,3928.693355,1712.611081,7252.816765,2.035378927,2.080905949,0.251222147,8.283130974,1.20E-16,4.60E-15,"2B6HV@1|root,31ZG6@2|Bacteria,2I0TK@201174|Actinobacteria,4F5WK@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS18915,G,2830.269033,903.2997296,5720.722989,2.605095295,2.669085392,0.32220616,8.283781398,1.19E-16,4.60E-15,"COG1129@1|root,COG1129@2|Bacteria,2GJ3F@201174|Actinobacteria,4F3PE@85017|Promicromonosporaceae",ATPases associated with a variety of cellular activities,,-,-,3.6.3.17,ko:K10441,"ko02010,map02010",M00212,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.2.1,3.A.1.2.13,3.A.1.2.19",-,-,ABC_tran
J2S48_RS24730,,5313.49647,609.4265411,12369.60136,4.232139981,4.347443317,0.527801184,8.23689573,1.77E-16,6.42E-15,,,,,,,,,,,,,,,,
J2S48_RS12715,K,540.6166239,128.106944,1159.381144,3.124177086,3.202996575,0.390287482,8.206762249,2.27E-16,8.08E-15,"COG1609@1|root,COG1609@2|Bacteria,2GJHF@201174|Actinobacteria,4F2K4@85016|Cellulomonadaceae",periplasmic binding protein LacI transcriptional regulator,,-,-,-,-,-,-,-,-,-,-,-,-,"LacI,Peripla_BP_3"
J2S48_RS12830,,794.0910369,177.9193028,1718.348638,3.204813194,3.287717178,0.404743234,8.122970083,4.55E-16,1.55E-14,,,,,,,,,,,,,,,,
J2S48_RS22820,K,3142.17677,1321.110341,5873.776414,2.106602689,2.151181861,0.264903958,8.120610486,4.64E-16,1.57E-14,"COG1414@1|root,COG1414@2|Bacteria,2GP2W@201174|Actinobacteria",Transcriptional regulator,,-,-,-,-,-,-,-,-,-,-,-,-,"HTH_IclR,IclR"
J2S48_RS14735,S,2976.485374,968.3906063,5988.627525,2.565659993,2.627668015,0.325565888,8.071079052,6.97E-16,2.33E-14,"COG3402@1|root,COG3402@2|Bacteria,2I2JX@201174|Actinobacteria,4F4GM@85017|Promicromonosporaceae",Bacterial PH domain,,-,-,-,-,-,-,-,-,-,-,-,-,bPH_2
J2S48_RS22865,S,1901.155279,309.1216514,4289.205719,3.692878115,3.796440873,0.47414607,8.00690149,1.18E-15,3.82E-14,"COG1942@1|root,COG1942@2|Bacteria,2IS20@201174|Actinobacteria",Tautomerase enzyme,,-,-,5.3.2.6,ko:K01821,"ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220",M00569,"R03966,R05389","RC01040,RC01355","ko00000,ko00001,ko00002,ko01000",-,-,-,Tautomerase
J2S48_RS21685,S,320.9568046,46.08738544,733.2609334,3.857240476,3.967747812,0.49863628,7.957198411,1.76E-15,5.61E-14,"COG1942@1|root,COG1942@2|Bacteria,2IR4N@201174|Actinobacteria,4F4GY@85017|Promicromonosporaceae",Tautomerase enzyme,,-,-,-,-,-,-,-,-,-,-,-,-,Tautomerase_2
J2S48_RS16890,P,2899.037109,1010.360414,5732.052152,2.443927148,2.502236182,0.315673459,7.926660016,2.25E-15,7.11E-14,"COG0444@1|root,COG0444@2|Bacteria,2IAWG@201174|Actinobacteria,4F58E@85017|Promicromonosporaceae","Oligopeptide/dipeptide transporter, C-terminal region",,-,-,-,ko:K02031,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,"ABC_tran,oligo_HPY"
J2S48_RS16880,EP,1301.718288,225.7300759,2915.700605,3.583036555,3.6855579,0.466596812,7.898806433,2.82E-15,8.74E-14,"COG0601@1|root,COG0601@2|Bacteria,2GM72@201174|Actinobacteria,4F582@85017|Promicromonosporaceae",Binding-protein-dependent transport system inner membrane component,,-,-,-,ko:K02033,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,BPD_transp_1
J2S48_RS01875,,1204.70048,310.903503,2545.395944,2.965077584,3.045013853,0.386560639,7.877195821,3.35E-15,1.02E-13,,,,,,,,,,,,,,,,
J2S48_RS07805,GM,809.8716839,245.3512647,1656.652313,2.683526383,2.753683679,0.350964129,7.846054482,4.29E-15,1.29E-13,"COG1682@1|root,COG1682@2|Bacteria,2GP5K@201174|Actinobacteria,4F509@85017|Promicromonosporaceae",ABC-2 type transporter,,tagG,-,-,ko:K09692,"ko02010,map02010",M00251,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.104,-,-,ABC2_membrane
J2S48_RS16555,K,59568.7689,4199.869761,142622.1176,4.934560715,5.085587524,0.648667158,7.840057049,4.50E-15,1.34E-13,"COG1278@1|root,COG1278@2|Bacteria,2GQRU@201174|Actinobacteria,4F4W7@85017|Promicromonosporaceae",Cold shock protein domain,,scoF4,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD
J2S48_RS07360,S,3904.653124,488.9845536,9028.155979,4.08690507,4.210612599,0.540664745,7.787843834,6.82E-15,1.99E-13,"COG4147@1|root,COG4147@2|Bacteria,2GJ56@201174|Actinobacteria,4F3VC@85017|Promicromonosporaceae",Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,,-,-,-,ko:K14393,-,-,-,-,"ko00000,ko02000",2.A.21.7,-,-,SSF
J2S48_RS14750,CH,6920.397858,1481.448936,15078.82124,3.254516173,3.345804385,0.429640175,7.787456998,6.84E-15,1.99E-13,"COG0654@1|root,COG0654@2|Bacteria,2GKUZ@201174|Actinobacteria",COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,,-,-,1.14.13.20,ko:K10676,"ko00361,ko01100,ko01120,ko01220,map00361,map01100,map01120,map01220",-,"R03997,R05441",RC00046,"ko00000,ko00001,ko01000",-,-,-,FAD_binding_3
